model,volume,seed,file,size_MB,rows,schema_ok,n_vehicles,id_min,id_max,id_coverage,t_min_s,t_max_s,duration_s,speed_mean,dt_ms,density,frac_sparse,status,complete
IDM,100,10,IDM_10_100\Trajectory_vehicle_trajectory.csv,5.15,51506,True,100,100001,100100,1.0,0.7,600.0,599.3,17.06,33.0,0.99,0.0,ok,True
IDM,100,300,IDM_300_100\Trajectory_vehicle_trajectory.csv,5.19,51890,True,100,100001,100100,1.0,3.33,600.0,596.67,17.04,33.0,0.99,0.0,ok,True
IDM,200,10,IDM_10_200\Trajectory_vehicle_trajectory.csv,10.77,107755,True,200,100001,100200,1.0,0.4,600.0,599.6,16.28,33.0,0.99,0.0,ok,True
IDM,200,300,IDM_300_200\Trajectory_vehicle_trajectory.csv,10.78,107856,True,200,100001,100200,1.0,0.4,600.0,599.6,16.26,33.0,0.99,0.0,ok,True
IDM,300,10,IDM_10_300\Trajectory_vehicle_trajectory.csv,17.43,174672,True,300,100001,100300,1.0,1.0,600.0,599.0,15.13,33.0,0.99,0.0,ok,True
IDM,300,300,IDM_300_300\Trajectory_vehicle_trajectory.csv,1.84,18429,True,60,100045,100300,0.234,93.5,600.0,506.5,14.31,33.0,0.99,0.0,ok,False
IDM,400,10,IDM_10_400\Trajectory_vehicle_trajectory.csv,26.41,265598,True,400,100001,100400,1.0,1.7,600.0,598.3,13.33,33.0,0.99,0.0,ok,True
IDM,400,300,IDM_300_400\Trajectory_vehicle_trajectory.csv,2.9,29239,True,87,100063,100400,0.257,93.0,600.0,507.0,11.91,33.0,0.99,0.0,ok,False
IDM,500,10,IDM_10_500\Trajectory_vehicle_trajectory.csv,41.25,417045,True,496,100001,100497,0.998,0.2,600.0,599.8,10.26,33.0,0.99,0.0,ok,True
IDM,500,300,IDM_300_500\Trajectory_vehicle_trajectory.csv,45.5,460812,True,500,100001,100500,1.0,0.8,600.0,599.2,9.5,33.0,0.99,0.0,ok,True
IDM,650,10,IDM_10_650\Trajectory_vehicle_trajectory.csv,53.92,547767,True,529,100001,100535,0.989,0.13,600.0,599.87,8.35,33.0,0.99,0.0,ok,True
IDM,650,300,IDM_300_650\Trajectory_vehicle_trajectory.csv,52.98,538136,True,524,100001,100532,0.985,1.43,600.0,598.57,8.42,33.0,0.99,0.0,ok,True
IDM,900,10,IDM_10_900\Trajectory_vehicle_trajectory.csv,9.81,100393,True,184,100076,100530,0.404,74.1,600.0,525.9,5.15,33.0,0.99,0.0,ok,False
IDM,900,300,IDM_300_900\Trajectory_vehicle_trajectory.csv,54.11,549860,True,526,100001,100527,0.998,0.3,600.0,599.7,8.25,33.0,0.99,0.0,ok,True
IDM,1500,10,IDM_10_1500\Trajectory_vehicle_trajectory.csv,54.55,554541,True,530,100001,100533,0.994,0.43,600.0,599.57,8.26,33.0,0.99,0.0,ok,True
IDM,1500,300,IDM_300_1500\Trajectory_vehicle_trajectory.csv,54.23,551231,True,528,100001,100530,0.996,0.43,600.0,599.57,8.26,33.0,0.99,0.0,ok,True
OVM,100,10,OVM_10_100\Trajectory_vehicle_trajectory.csv,4.67,46705,True,100,100001,100100,1.0,3.43,600.0,596.57,19.09,33.0,0.99,0.0,ok,True
OVM,100,300,OVM_300_100\Trajectory_vehicle_trajectory.csv,4.64,46397,True,100,100001,100100,1.0,6.47,600.0,593.53,19.13,33.0,0.99,0.0,ok,True
OVM,200,10,OVM_10_200\Trajectory_vehicle_trajectory.csv,8.67,86849,True,200,100001,100200,1.0,9.17,600.0,590.83,20.24,33.0,0.99,0.0,ok,True
OVM,200,300,OVM_300_200\Trajectory_vehicle_trajectory.csv,8.74,87582,True,200,100001,100200,1.0,10.6,600.0,589.4,20.2,33.0,0.99,0.0,ok,False
OVM,300,10,OVM_10_300\Trajectory_vehicle_trajectory.csv,13.06,130924,True,300,100001,100300,1.0,0.13,600.0,599.87,20.46,33.0,0.99,0.0,ok,True
OVM,300,300,OVM_300_300\Trajectory_vehicle_trajectory.csv,12.72,127490,True,300,100001,100300,1.0,1.67,600.0,598.33,20.92,33.0,0.99,0.0,ok,True
OVM,400,10,OVM_10_400\Trajectory_vehicle_trajectory.csv,1.06,10691,True,47,100062,100400,0.139,97.87,600.0,502.13,20.82,33.0,0.99,0.0,ok,False
OVM,400,300,OVM_300_400\Trajectory_vehicle_trajectory.csv,17.23,172798,True,400,100001,100400,1.0,1.53,600.0,598.47,20.61,33.0,0.99,0.0,ok,True
OVM,500,10,OVM_10_500\Trajectory_vehicle_trajectory.csv,22.13,222163,True,500,100001,100500,1.0,0.1,600.0,599.9,20.07,33.0,0.99,0.0,ok,True
OVM,500,300,OVM_300_500\Trajectory_vehicle_trajectory.csv,22.12,221984,True,500,100001,100500,1.0,0.4,600.0,599.6,20.0,33.0,0.99,0.0,ok,True
OVM,650,10,OVM_10_650\Trajectory_vehicle_trajectory.csv,38.76,391524,True,650,100001,100650,1.0,0.77,600.0,599.23,14.72,33.0,0.99,0.0,ok,True
OVM,650,300,OVM_300_650\Trajectory_vehicle_trajectory.csv,29.02,291170,True,650,100001,100650,1.0,0.87,600.0,599.13,19.81,33.0,0.99,0.0,ok,True
OVM,900,10,OVM_10_900\Trajectory_vehicle_trajectory.csv,5.67,57907,True,161,100101,100691,0.272,73.37,600.0,526.63,8.58,33.0,0.99,0.0,ok,False
OVM,900,300,OVM_300_900\Trajectory_vehicle_trajectory.csv,44.38,448922,True,712,100001,100717,0.993,0.57,600.0,599.43,13.92,33.0,0.99,0.0,ok,True
OVM,1500,10,OVM_10_1500\Trajectory_vehicle_trajectory.csv,47.15,477465,True,702,100001,100706,0.994,0.23,600.0,599.77,12.98,33.0,0.99,0.0,ok,True
OVM,1500,300,OVM_300_1500\Trajectory_vehicle_trajectory.csv,45.37,459267,True,694,100001,100700,0.991,0.17,600.0,599.83,13.37,33.0,0.99,0.0,ok,True
W74,100,10,W74_10_100\Trajectory_vehicle_trajectory.csv,4.55,45455,True,100,100001,100100,1.0,5.97,600.0,594.03,19.38,33.0,0.99,0.0,ok,True
W74,100,300,W74_300_100\Trajectory_vehicle_trajectory.csv,4.52,45204,True,100,100001,100100,1.0,5.97,600.0,594.03,19.51,33.0,0.99,0.0,ok,True
W74,200,10,W74_10_200\Trajectory_vehicle_trajectory.csv,8.53,85335,True,200,100001,100200,1.0,5.0,600.0,595.0,20.95,33.0,0.99,0.0,ok,True
W74,200,300,W74_300_200\Trajectory_vehicle_trajectory.csv,0.57,5679,True,29,100037,100200,0.177,97.73,600.0,502.27,20.87,33.0,0.99,0.0,ok,False
W74,300,10,W74_10_300\Trajectory_vehicle_trajectory.csv,13.08,130980,True,300,100001,100300,1.0,1.57,600.0,598.43,20.44,33.0,0.99,0.0,ok,True
W74,300,300,W74_300_300\Trajectory_vehicle_trajectory.csv,0.91,9135,True,43,100053,100300,0.173,95.57,600.0,504.43,20.35,33.0,0.99,0.0,ok,False
